ID,Round1_Gaming,Round2_Gaming,Round3_Gaming,Round4_Gaming,Round5_Gaming,Round6_Gaming,Round7_Gaming,Round8_Gaming,Round9_Gaming,Round10_Gaming
10.1.5_C,Yes,Yes,Yes,,,,,,,
10.2.1_A,Yes,Yes,Yes,Yes,,,,,,
10.2.2_A,Yes,Yes,Yes,Yes,Yes,,,,,
10.2.3_A,Yes,Yes,Yes,Yes,Yes,,,,,
10.2.4_A,Yes,Yes,Yes,Yes,Yes,Yes,,,,
10.2.5_A,Yes,Yes,Yes,Yes,Yes,,,,,
10.2.1_B,Yes,Yes,Yes,Yes,Yes,,,,,
10.2.2_B,Yes,Yes,Yes,Yes,,,,,,
10.2.3_B,Yes,Yes,Yes,Yes,Yes,,,,,
10.2.4_B,Yes,Yes,Yes,Yes,Yes,,,,,
10.2.5_B,Yes,Yes,Yes,Yes,,,,,,
10.2.1_C,Yes,Yes,Yes,,,,,,,
10.2.2_C,Yes,Yes,Yes,Yes,Yes,,,,,
10.2.3_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
10.2.4_C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
10.2.5_C,Yes,Yes,Yes,Yes,Yes,,,,,
10.3.1_A,No,No,Yes,No,,,,,,
10.3.2_A,No,No,Yes,No,,,,,,
10.3.3_A,No,No,Yes,No,,,,,,
10.3.4_A,No,No,Yes,No,,,,,,
10.3.5_A,No,No,Yes,No,,,,,,
10.3.1_B,No,No,Yes,No,,,,,,
10.3.2_B,No,No,Yes,No,No,,,,,
10.3.3_B,No,No,Yes,No,,,,,,
10.3.4_B,No,No,Yes,No,,,,,,
10.3.5_B,No,No,Yes,No,,,,,,
10.3.1_C,No,No,Yes,No,,,,,,
10.3.2_C,No,No,Yes,No,,,,,,
10.3.3_C,No,No,Yes,No,No,,,,,
10.3.4_C,No,No,Yes,No,,,,,,
10.3.5_C,No,No,Yes,No,No,,,,,
10.4.1_A,No,No,Yes,Yes,Yes,,,,,
10.4.2_A,No,No,Yes,Yes,Yes,,,,,
10.4.3_A,No,No,Yes,Yes,Yes,,,,,
10.4.4_A,No,No,Yes,Yes,Yes,,,,,
10.4.5_A,No,No,Yes,Yes,Yes,,,,,
10.4.1_B,No,No,Yes,Yes,Yes,,,,,
10.4.2_B,No,No,Yes,Yes,Yes,,,,,
10.4.3_B,No,No,Yes,Yes,Yes,,,,,
10.4.4_B,No,No,Yes,Yes,Yes,,,,,
10.4.5_B,No,No,Yes,Yes,Yes,,,,,
10.4.1_C,No,No,Yes,Yes,Yes,,,,,
10.4.2_C,No,No,Yes,Yes,Yes,,,,,
10.4.3_C,No,No,Yes,Yes,Yes,,,,,
10.4.4_C,No,No,Yes,Yes,Yes,,,,,
10.4.5_C,No,No,Yes,Yes,Yes,,,,,
11.1.1_A,Yes,Yes,Yes,,,,,,,
11.1.2_A,Yes,Yes,Yes,,,,,,,
11.1.3_A,Yes,Yes,Yes,,,,,,,
11.1.4_A,Yes,Yes,Yes,,,,,,,
11.1.5_A,Yes,Yes,Yes,,,,,,,
11.1.1_B,Yes,Yes,Yes,,,,,,,
11.1.2_B,Yes,Yes,Yes,,,,,,,
11.1.3_B,Yes,Yes,Yes,,,,,,,
11.1.4_B,Yes,Yes,Yes,,,,,,,
11.1.5_B,Yes,Yes,Yes,,,,,,,
11.1.1_C,Yes,Yes,Yes,,,,,,,
11.1.2_C,Yes,Yes,Yes,,,,,,,
11.1.3_C,Yes,Yes,Yes,,,,,,,
11.1.4_C,Yes,Yes,Yes,,,,,,,
11.1.5_C,Yes,Yes,Yes,,,,,,,
11.2.1_A,Yes,Yes,Yes,Yes,Yes,,,,,
11.2.2_A,Yes,Yes,Yes,Yes,Yes,,,,,
11.2.3_A,Yes,Yes,Yes,Yes,Yes,,,,,
11.2.4_A,Yes,Yes,Yes,Yes,Yes,,,,,
11.2.5_A,Yes,Yes,Yes,Yes,Yes,,,,,
11.2.1_B,Yes,Yes,Yes,Yes,,,,,,
11.2.2_B,Yes,Yes,Yes,Yes,,,,,,
11.2.3_B,Yes,Yes,Yes,Yes,Yes,,,,,
11.2.4_B,Yes,Yes,Yes,Yes,,,,,,
11.2.5_B,Yes,Yes,Yes,Yes,Yes,,,,,
11.2.1_C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
11.2.2_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
11.2.3_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
11.2.4_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
11.2.5_C,Yes,Yes,Yes,Yes,Yes,,,,,
11.3.1_A,No,No,Yes,No,No,,,,,
11.3.2_A,No,No,Yes,No,No,No,No,No,,
11.3.3_A,No,No,Yes,No,,,,,,
11.3.4_A,No,No,Yes,No,,,,,,
11.3.5_A,No,No,Yes,No,,,,,,
11.3.1_B,No,No,Yes,No,,,,,,
11.3.2_B,No,No,Yes,No,,,,,,
11.3.3_B,No,No,Yes,No,,,,,,
11.3.4_B,No,No,Yes,No,,,,,,
11.3.5_B,No,No,Yes,No,,,,,,
11.3.1_C,No,No,Yes,No,,,,,,
11.3.2_C,No,No,Yes,No,,,,,,
11.3.3_C,No,No,Yes,No,,,,,,
11.3.4_C,No,No,Yes,No,No,,,,,
11.3.5_C,No,No,Yes,No,No,,,,,
11.4.1_A,No,No,Yes,Yes,Yes,,,,,
11.4.2_A,No,No,Yes,Yes,Yes,,,,,
11.4.3_A,No,No,Yes,Yes,Yes,,,,,
11.4.4_A,No,No,Yes,Yes,Yes,,,,,
11.4.5_A,No,No,Yes,Yes,Yes,,,,,
11.4.1_B,No,No,Yes,Yes,Yes,,,,,
11.4.2_B,No,No,Yes,Yes,Yes,,,,,
11.4.3_B,No,No,Yes,Yes,Yes,,,,,
11.4.4_B,No,No,Yes,Yes,Yes,,,,,
11.4.5_B,No,No,Yes,Yes,Yes,,,,,
11.4.1_C,No,No,Yes,Yes,Yes,,,,,
11.4.2_C,No,No,Yes,Yes,Yes,,,,,
11.4.3_C,No,No,Yes,Yes,Yes,,,,,
11.4.4_C,No,No,Yes,Yes,Yes,,,,,
11.4.5_C,No,No,Yes,Yes,Yes,,,,,
13.1.1_A,Yes,Yes,Yes,,,,,,,
13.1.2_A,Yes,Yes,Yes,,,,,,,
13.1.3_A,Yes,Yes,Yes,,,,,,,
13.1.4_A,Yes,Yes,Yes,,,,,,,
13.1.5_A,Yes,Yes,Yes,,,,,,,
13.1.1_B,Yes,Yes,Yes,,,,,,,
13.1.2_B,Yes,,,,,,,,,
13.1.3_B,Yes,,,,,,,,,
13.1.4_B,Yes,Yes,Yes,,,,,,,
13.1.5_B,Yes,Yes,Yes,,,,,,,
13.1.1_C,Yes,Yes,Yes,,,,,,,
13.1.2_C,Yes,Yes,Yes,,,,,,,
13.1.3_C,Yes,Yes,Yes,,,,,,,
13.1.4_C,Yes,Yes,Yes,,,,,,,
13.1.5_C,Yes,Yes,Yes,,,,,,,
13.2.1_A,Yes,Yes,Yes,Yes,,,,,,
13.2.2_A,Yes,Yes,Yes,Yes,Yes,,,,,
13.2.3_A,Yes,Yes,Yes,Yes,,,,,,
13.2.4_A,Yes,Yes,Yes,Yes,Yes,,,,,
13.2.5_A,Yes,Yes,Yes,Yes,Yes,,,,,
13.2.1_B,Yes,Yes,Yes,Yes,,,,,,
13.2.2_B,Yes,Yes,Yes,Yes,,,,,,
13.2.3_B,Yes,Yes,Yes,Yes,,,,,,
13.2.4_B,Yes,Yes,Yes,Yes,,,,,,
13.2.5_B,Yes,Yes,Yes,Yes,,,,,,
13.2.1_C,Yes,Yes,Yes,Yes,Yes,,,,,
13.2.2_C,Yes,Yes,Yes,Yes,Yes,,,,,
13.2.3_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
13.2.4_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
13.2.5_C,Yes,Yes,Yes,Yes,Yes,,,,,
13.3.1_A,No,No,Yes,No,No,,,,,
13.3.2_A,No,No,Yes,No,,,,,,
13.3.3_A,No,No,Yes,No,,,,,,
13.3.4_A,No,No,Yes,No,,,,,,
13.3.5_A,No,No,Yes,No,,,,,,
13.3.1_B,No,No,Yes,No,,,,,,
13.3.2_B,No,No,Yes,No,,,,,,
13.3.3_B,No,No,Yes,No,,,,,,
13.3.4_B,No,No,Yes,No,,,,,,
13.3.5_B,No,No,Yes,No,,,,,,
13.3.1_C,No,No,Yes,No,,,,,,
13.3.2_C,No,No,Yes,No,No,,,,,
13.3.3_C,No,No,Yes,No,,,,,,
13.3.4_C,No,No,Yes,No,,,,,,
13.3.5_C,No,No,Yes,No,,,,,,
13.4.1_A,No,No,Yes,Yes,Yes,,,,,
13.4.2_A,No,No,Yes,Yes,Yes,,,,,
13.4.3_A,No,No,Yes,Yes,Yes,,,,,
13.4.4_A,No,No,Yes,Yes,Yes,,,,,
13.4.5_A,No,No,Yes,Yes,Yes,,,,,
13.4.1_B,No,No,Yes,Yes,Yes,,,,,
13.4.2_B,No,No,Yes,Yes,Yes,,,,,
13.4.3_B,No,No,Yes,Yes,Yes,,,,,
13.4.4_B,No,No,Yes,Yes,Yes,,,,,
13.4.5_B,No,No,Yes,Yes,Yes,,,,,
13.4.1_C,No,No,Yes,Yes,Yes,,,,,
13.4.2_C,No,No,Yes,Yes,Yes,,,,,
13.4.3_C,No,No,Yes,Yes,Yes,,,,,
13.4.4_C,No,No,Yes,Yes,Yes,,,,,
13.4.5_C,No,No,Yes,Yes,Yes,,,,,
14.1.1_A,Yes,Yes,Yes,,,,,,,
14.1.2_A,Yes,Yes,Yes,,,,,,,
14.1.3_A,Yes,Yes,Yes,,,,,,,
14.1.4_A,Yes,Yes,Yes,,,,,,,
14.1.5_A,Yes,Yes,Yes,,,,,,,
14.1.1_B,Yes,Yes,Yes,,,,,,,
14.1.2_B,Yes,Yes,Yes,,,,,,,
14.1.3_B,Yes,Yes,Yes,,,,,,,
14.1.4_B,Yes,Yes,Yes,,,,,,,
14.1.5_B,Yes,Yes,Yes,,,,,,,
14.1.1_C,Yes,Yes,Yes,,,,,,,
14.1.2_C,Yes,Yes,Yes,,,,,,,
14.1.3_C,Yes,Yes,Yes,,,,,,,
14.1.4_C,Yes,Yes,Yes,,,,,,,
14.1.5_C,Yes,Yes,Yes,,,,,,,
14.2.1_A,Yes,Yes,Yes,Yes,,,,,,
14.2.2_A,Yes,Yes,Yes,,,,,,,
14.2.3_A,Yes,Yes,Yes,Yes,,,,,,
14.2.4_A,Yes,Yes,Yes,,,,,,,
14.2.5_A,Yes,Yes,Yes,Yes,Yes,,,,,
14.2.1_B,Yes,Yes,Yes,Yes,,,,,,
14.2.2_B,Yes,Yes,Yes,Yes,,,,,,
14.2.3_B,Yes,Yes,Yes,Yes,Yes,,,,,
14.2.4_B,Yes,Yes,Yes,Yes,,,,,,
14.2.5_B,Yes,Yes,Yes,Yes,,,,,,
14.2.1_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
14.2.2_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
14.2.3_C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
14.2.4_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
14.2.5_C,Yes,Yes,Yes,Yes,Yes,,,,,
14.3.1_A,No,No,Yes,No,,,,,,
14.3.2_A,No,No,Yes,No,,,,,,
14.3.3_A,No,No,Yes,No,,,,,,
14.3.4_A,No,No,Yes,No,,,,,,
14.3.5_A,No,No,Yes,No,,,,,,
14.3.1_B,No,No,Yes,No,No,,,,,
14.3.2_B,No,No,Yes,No,,,,,,
14.3.3_B,No,No,Yes,No,,,,,,
14.3.4_B,No,No,Yes,No,,,,,,
14.3.5_B,No,No,Yes,No,No,,,,,
14.3.1_C,No,No,Yes,No,,,,,,
14.3.2_C,No,No,Yes,No,No,,,,,
14.3.3_C,No,No,Yes,No,,,,,,
14.3.4_C,No,No,Yes,No,,,,,,
14.3.5_C,No,No,Yes,No,,,,,,
14.4.1_A,No,No,Yes,Yes,Yes,,,,,
14.4.2_A,No,No,Yes,Yes,Yes,,,,,
14.4.3_A,No,No,Yes,Yes,Yes,,,,,
14.4.4_A,No,No,Yes,Yes,Yes,,,,,
14.4.5_A,No,No,Yes,Yes,Yes,,,,,
14.4.1_B,No,No,Yes,Yes,Yes,,,,,
14.4.2_B,No,No,Yes,Yes,Yes,,,,,
14.4.3_B,No,No,Yes,Yes,Yes,,,,,
14.4.4_B,No,No,Yes,Yes,Yes,,,,,
14.4.5_B,No,No,Yes,Yes,Yes,,,,,
14.4.1_C,No,No,Yes,Yes,Yes,,,,,
14.4.2_C,No,No,Yes,Yes,Yes,,,,,
14.4.3_C,No,No,Yes,Yes,Yes,,,,,
14.4.4_C,No,No,Yes,Yes,Yes,,,,,
14.4.5_C,No,No,Yes,Yes,Yes,,,,,
16.1_A,No,No,No,,,,,,,
16.2_A,No,No,No,,,,,,,
16.3_A,No,No,No,,,,,,,
16.4_A,No,No,No,,,,,,,
16.5_A,No,No,No,,,,,,,
16.1_B,No,No,No,,,,,,,
16.2_B,No,No,No,,,,,,,
16.3_B,No,No,No,,,,,,,
16.4_B,No,No,No,,,,,,,
16.5_B,No,No,No,,,,,,,
16.1_C,No,No,No,,,,,,,
16.2_C,No,No,No,No,,,,,,
16.3_C,No,No,No,,,,,,,
16.4_C,No,No,No,No,,,,,,
16.5_C,No,No,No,No,,,,,,
17.1_A,No,No,No,,,,,,,
17.2_A,No,No,No,No,,,,,,
17.3_A,No,No,No,,,,,,,
17.4_A,No,No,No,,,,,,,
17.5_A,No,No,No,,,,,,,
17.1_B,No,No,No,,,,,,,
17.2_B,No,No,No,,,,,,,
17.3_B,No,No,No,No,,,,,,
17.4_B,No,No,No,No,,,,,,
17.5_B,No,No,No,No,,,,,,
17.1_C,No,No,No,No,No,,,,,
17.2_C,No,No,No,No,,,,,,
17.3_C,No,No,No,No,No,,,,,
17.4_C,No,No,No,No,No,,,,,
17.5_C,No,No,No,No,,,,,,
18.1_A,No,No,No,No,,,,,,
18.2_A,No,No,No,No,,,,,,
18.3_A,No,No,No,No,,,,,,
18.4_A,No,No,No,No,,,,,,
18.5_A,No,No,No,No,No,,,,,
18.1_B,No,No,No,No,,,,,,
18.2_B,No,No,No,No,,,,,,
18.3_B,No,No,No,No,,,,,,
18.4_B,No,No,No,No,,,,,,
18.5_B,No,No,No,No,,,,,,
18.1_C,No,No,No,No,No,No,No,No,No,No
18.2_C,No,No,No,No,No,,,,,
18.3_C,No,No,No,No,,,,,,
18.4_C,No,No,No,No,No,,,,,
18.5_C,No,No,No,No,No,,,,,
19.1_A,No,No,No,,,,,,,
19.2_A,No,No,,,,,,,,
19.3_A,No,No,No,,,,,,,
19.4_A,No,No,No,,,,,,,
19.5_A,No,No,No,,,,,,,
19.1_B,No,No,No,,,,,,,
19.2_B,No,No,No,,,,,,,
19.3_B,No,,,,,,,,,
19.4_B,No,No,No,,,,,,,
19.5_B,No,No,No,,,,,,,
19.1_C,No,No,No,,,,,,,
19.2_C,No,No,No,No,,,,,,
19.3_C,No,No,No,,,,,,,
19.4_C,No,No,No,,,,,,,
19.5_C,No,No,No,,,,,,,
