ID,M. Gaming,M. G. Cat,M. S. Cat
14.2.4_A,Yes,Prompt,Switch
14.2.5_A,Yes,Prompt,Switch
14.2.1_B,Yes,Prompt,Switch
14.2.2_B,Yes,Prompt,Switch
14.2.3_B,Yes,Prompt,Switch
14.2.4_B,Yes,Prompt,Switch
14.2.5_B,Yes,Prompt,Switch
14.2.1_C,Yes,Prompt,Switch
14.2.2_C,Yes,Prompt,Switch
14.2.3_C,Yes,Prompt,Switch
14.2.4_C,Yes,Prompt,Switch
14.2.5_C,Yes,Prompt,Switch
14.3.1_A,Yes,Prompt,Switch
14.3.2_A,Yes,Prompt,Switch
14.3.3_A,Yes,Prompt,Switch
14.3.4_A,Yes,Prompt,Switch
14.3.5_A,Yes,Prompt,Switch
14.3.1_B,Yes,Prompt,Switch
14.3.2_B,Yes,Prompt,Switch
14.3.3_B,Yes,Prompt,Switch
14.3.4_B,Yes,Prompt,Switch
14.3.5_B,Yes,Prompt,Switch
14.3.1_C,Yes,Prompt,Switch
14.3.2_C,Yes,Prompt,Switch
14.3.3_C,Yes,Prompt,Switch
14.3.4_C,Yes,Prompt,Switch
14.3.5_C,Yes,Prompt,Switch
14.4.1_A,Yes,Prompt,Switch
14.4.2_A,Yes,Prompt,Switch
14.4.3_A,Yes,Prompt,Switch
14.4.4_A,Yes,Prompt,Switch
14.4.5_A,Yes,Prompt,Switch
14.4.1_B,Yes,Prompt,Switch
14.4.2_B,Yes,Prompt,Switch
14.4.3_B,Yes,Prompt,Switch
14.4.4_B,Yes,Prompt,Switch
14.4.5_B,Yes,Prompt,Switch
14.4.1_C,Yes,Prompt,Switch
14.4.2_C,Yes,Prompt,Switch
14.4.3_C,Yes,Prompt,Switch
14.4.4_C,Yes,Prompt,Switch
14.4.5_C,Yes,Prompt,Switch
16.1_A,No,,
16.2_A,No,,
16.3_A,No,,
16.4_A,No,,
16.5_A,No,,
16.1_B,No,,
16.2_B,No,,
16.3_B,No,,
16.4_B,No,,
16.5_B,No,,
16.1_C,No,,
16.2_C,No,,
16.3_C,No,,
16.4_C,No,,
16.5_C,No,,
17.1_A,No,,
17.2_A,No,,
17.3_A,No,,
17.4_A,No,,
17.5_A,No,,
17.1_B,No,,
17.2_B,No,,
17.3_B,No,,
17.4_B,No,,
17.5_B,No,,
17.1_C,No,,
17.2_C,No,,
17.3_C,No,,
17.4_C,No,,
17.5_C,No,,
18.1_A,No,,
18.2_A,No,,
18.3_A,No,,
18.4_A,No,,
18.5_A,No,,
18.1_B,No,,
18.2_B,No,,
18.3_B,No,,
18.4_B,No,,
18.5_B,No,,
18.1_C,No,,
18.2_C,No,,
18.3_C,No,,
18.4_C,No,,
18.5_C,No,,
19.1_A,No,,
19.2_A,No,,
19.3_A,No,,
19.4_A,No,,
19.5_A,No,,
19.1_B,No,,
19.2_B,No,,
19.3_B,No,,
19.4_B,No,,
19.5_B,No,,
19.1_C,No,,
19.2_C,No,,
19.3_C,No,,
19.4_C,No,,
19.5_C,No,,
